codigo,descripcion,precio_con_iva
1003,ACEITE GIRASOL CAMPO ALEGRE 900CC (X12U),3198.09
1012,ACEITE MEZCLA CAMPO ALEGRE 1.5L (X8U),5101.12
1021,MAYONESA CAMPO ALEGRE 500G (X12U),4524.59
1033,KETCHUP CAMPO ALEGRE 400G (X12U),4622.59
1045,VINAGRE CAMPO ALEGRE 1L (X12U),5297.78
1052,HARINA 000 CAMPO ALEGRE X1KG (X10U),3225.66
1063,ARROZ LARGO FINO CAMPO ALEGRE X1KG (X10U),4128.50
1073,FIDEOS GUISEROS CAMPO ALEGRE 500G (X15U),3497.72
1083,PURE DE TOMATE CAMPO ALEGRE 520G (X12U),3803.42
1096,LENTEJAS CAMPO ALEGRE 400G (X12U),2333.72
1108,AZUCAR CAMPO ALEGRE X1KG (X10U),2025.14
1119,YERBA CAMPO ALEGRE X1KG (X10U),2696.86
1127,GALLETITAS SURTIDAS CAMPO ALEGRE 400G (X20U),2728.19
1137,ALFAJOR TRIPLE CAMPO ALEGRE (X24U),2856.40
1147,TURRON CAMPO ALEGRE (X50U),1649.01
1160,CARAMELOS MASTICABLES CAMPO ALEGRE X800G,3183.37
1164,GASEOSA COLA CAMPO ALEGRE 2.25L (X6U),3795.64
1173,AGUA SIN GAS CAMPO ALEGRE 2L (X6U),3299.85
1182,JUGO EN POLVO CAMPO ALEGRE (X20S),3449.60
1196,SODA CAMPO ALEGRE 2L (X6U),4728.86
1201,MORTADELA CAMPO ALEGRE (PLANCHA),12482.59
1215,LECHE ENTERA CAMPO ALEGRE 1L (X12U),6463.88
1221,YOGUR BEBIBLE CAMPO ALEGRE 900G (X6U),11074.62
